movie_id,year,rev_minus_cost
Don't Say a Word,2001,50020092.0
Hearts in Atlantis,2001,-6814219.0
Zoolander,2001,32780981.0
Joy Ride,2001,13642838.0
Max Keeble's Big Move,2001,5292381.0
Serendipity,2001,49516304.0
Bandits,2001,-7368097.0
Corky Romano,2001,12978402.0
Mulholland Drive,2001,5117339.0
Bones,2001,-2683342.0
From Hell,2001,39558115.0
The Last Castle,2001,-44357293.0
Riding in Cars with Boys,2001,-12256692.0
K-PAX,2001,2315140.0
Donnie Darko,2001,-4729478.0
Domestic Disturbance,2001,-20750706.0
Monsters Inc.,2001,447816256.0
The One,2001,23700000.0
Tape,2001,390475.0
Shallow Hal,2001,101069860.0
The Wash,2001,3229331.0
Harry Potter and the Philosopher's Stone,2001,851475550.0
Novocaine,2001,-3974762.0
Out Cold,2001,-9217324.0
Spy Game,2001,51049560.0
El espinazo del diablo,2001,1959020.0
Behind Enemy Lines,2001,51753202.0
Ocean's Eleven,2001,365717150.0
Le fabuleux destin d'Amélie Poulain,2001,163921954.0
Not Another Teen Movie,2001,50468332.0
Vanilla Sky,2001,135388341.0
The Royal Tenenbaums,2001,50441250.0
How High,2001,19155435.0
Jimmy Neutron: Boy Genius,2001,55936232.0
The Lord of the Rings: The Fellowship of the Ring,2001,778368364.0
The Majestic,2001,-34682442.0
A Beautiful Mind,2001,253542341.0
Ali,2001,-19286175.0
Black Hawk Down,2001,80989651.0
Gosford Park,2001,67954044.0
I Am Sam,2001,70542418.0
Monster's Ball,2001,40909486.0
Silent Trigger,1996,-14923618.0
Le Pacte des loups,2001,41752904.0
The Count of Monte Cristo,2002,40395048.0
The Mothman Prophecies,2002,23157539.0
A Walk to Remember,2002,30227069.0
American Adobo,2001,-340.0
Metropolis,2001,81289342.0
Slackers,2002,-7586085.0
Big Fat Liar,2002,37970014.0
Collateral Damage,2002,-6617567.0
Crossroads,2002,49141030.0
Hart's War,2002,-37712956.0
John Q,2002,66244770.0
Return to Never Land,2002,89862682.0
Super Troopers,2001,15492362.0
Dragonfly,2002,-7677600.0
Queen of the Damned,2002,10479110.0
We Were Soldiers,2002,39660784.0
All About the Benjamins,2002,11482931.0
The Time Machine,2002,43729176.0
Full Frontal,2002,506446.0
Ice Age,2002,324257136.0
Resident Evil,2002,69984862.0
Showtime,2002,-7258268.0
Kissing Jessica Stein,2001,9013424.0
Y tu mamá también,2001,28616692.0
Blade II,2002,101010032.0
Clockstoppers,2002,12793283.0
Panic Room,2002,148397415.0
The Rookie,2002,55597042.0
La Pianiste,2001,6801375.0
High Crimes,2002,21781810.0
National Lampoon’s Van Wilder,2002,33275483.0
Changing Lanes,2002,49935764.0
Frailty,2001,2110448.0
The Sweetest Thing,2002,25696770.0
The Cat's Meow,2001,-3353006.0
Human Nature,2001,-5294692.0
My Big Fat Greek Wedding,2002,363744044.0
Murder by Numbers,2002,6714147.0
The Scorpion King,2002,105333180.0
Jason X,2001,5951798.0
Life or Something Like It,2002,-23127329.0
Salton Sea,2002,-17323302.0
Vulgar,2000,-105096.0
Spider-Man,2002,682708551.0
Unfaithful,2002,69137784.0
About a Boy,2002,102000000.0
Star Wars: Episode II - Attack of the Clones,2002,529398328.0
The Believer,2001,-1083075.0
Enough,2002,13801187.0
Insomnia,2002,67714830.0
Spirit: Stallion of the Cimarron,2002,42563539.0
The Sum of All Fears,2002,125000000.0
Undercover Brother,2002,16604473.0
Bad Company,2002,-4022705.0
